head_entity_label,head_entity,relationship,tail_entity_label,tail_entity
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市财政局,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市人力资源和社会保障局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":事故调查组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":市生态环境局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":环境保护组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":市生态环境局,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市生态环境局,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市城乡建设委员会,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":综合保障组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":市交通运输局,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市交通运输局,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市水务局,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市商务局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":医疗救护组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":市卫生健康委员会,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市卫生健康委员会,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":应急专家组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":市应急管理局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":事故调查组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":市应急管理局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":信息发布组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":市应急管理局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":综合保障组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":市应急管理局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":抢险救援组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":市应急管理局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":综合协调组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":市应急管理局,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市应急管理局,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市市场监督管理局,""危化品应急预案"":危化品应急预案}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":侦察检测}",泄漏事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":b.查明事故区城遇险人数、位置。}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":侦察检测}",泄漏事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":f.查明警戒区内重点单位情况、人员数量、地理位置、电源、火源及道路交通情况掌握现场及周边的消防水源位置、储量及给水方式。}"
[应急工作小组],"{""name"":抢险救援组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":南京市消防救援支队,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":南京市消防救援支队,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":市气象局,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":通信保障组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":南京通信行业管理办公室,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":南京通信行业管理办公室,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":南京市红十字会,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":南京供电公司,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":善后处置组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":事发地区人民政府（江北新区管委会）,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":事故调查组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":事发地区人民政府（江北新区管委会）,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":信息发布组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":事发地区人民政府（江北新区管委会）,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":综合保障组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":事发地区人民政府（江北新区管委会）,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":警戒疏散组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":事发地区人民政府（江北新区管委会）,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":综合协调组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":事发地区人民政府（江北新区管委会）,""危化品应急预案"":危化品应急预案}"
[应急总指挥部],"{""name"":市危险化学品生产安全事故应急指挥部,""危化品应急预案"":危化品应急预案}",成员部门,[具体政府部门],"{""name"":事发地区人民政府（江北新区管委会）,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市委宣传部,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责及时会同有关部门做好安全生产事故的信息发布工作。把握正确舆论导向，引导新闻媒体客观报道突发事件。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市委网络安全和信息化委员会办公室,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责危险化学品生产安全事故网络舆情的监测、引导和管控，做好重要舆情信息的报告工作。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":南京警备区,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":根据地方人民政府需求，协调现役解放军、民兵和预备役部队支援协助事故救援。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":武警南京支队,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":在市委市人民政府协调下参加事故应急处置和救援；协同公安机关担负现场和周边地区的安全警戒，维护社会秩序。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市发展和改革委员会,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责组织协调应急救援所需的电力保障；负责市级应急救灾物资的收储、轮换和日常管理，根据动用指令按程序组织调出。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市工业和信息化局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":参与工业和信息化领域生产安全事故应急救援工作；负责相关应急救援物资的组织保障。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市公安局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责应急救援的治安保卫、道路交通管制，组织提供施救所需的救援器材和其他救援装备。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市民政局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":配合做好遇难人员遗体处置工作。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市财政局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":按照规定落实政府安全生产投入，保障有关部门和单位安全生产工作经费，为应对事故工作提供资金支持。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市人力资源和社会保障局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":指导协调与生产安全事故有关的工伤保险工作；配合有关部门对事故救援工作中作出突出贡献的单位和个人给予奖励。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市生态环境局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责组织协调事故现场环境应急监测、预警和环境损坏评估工作，组织制定环境应急处置方案。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市城乡建设委员会,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":组织联系施救所需的工程机械、救援器材等救援设备。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市交通运输局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责组织协调应急救援所需的水陆交通运输保障。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市水务局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责生产安全事故抢险救援过程中水资源调配，组织协调应急救援所需供水保障工作。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市商务局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责协调应急救援物资、药品和相关生活用品的保障。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市卫生健康委员会,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责组织调派医疗专家、卫生救援队伍开展医疗救治工作。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市应急管理局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":综合分析和预测危险化学品行业安全生产形势，发布事故预警信息；负责组织协调危险化学品生产安全事故应急救援工作；负责组织协调生产安全事故应急救援相关物资的调拨；负责组织协调受灾人员的临时生活救助；负责组织开展事故调查处理。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市市场监督管理局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责协调涉危险化学品特种设备事故的应急救援工作，提供特种设备事故救援技术支持；负责提供应急救援所需的特种设备信息；负责提供抢救用药品和医疗器材的信息，监督抢救伤员所需药品、医疗器械的质量。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":南京市消防救援支队,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责组织指挥事故现场火灾扑救，控制易燃易爆、有毒有害物质泄漏，搜救失踪人员；负责协调现场施救力量和物资的部署。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市气象局,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责天气监测、预报、预测，及时提供气象信息服务。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":南京通信行业管理办公室,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责组织协调通信运营企业为事故应急救援提供通信保障。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":南京市红十字会,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":开展救灾募捐活动，参与救灾和伤员救治工作，开展无偿献血动员宣传等志愿服务活动。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":南京供电公司,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责恢复、保障应急救援现场所需电力供应。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":事发地区人民政府（江北新区管委会）,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":负责组织、协调、实施本辖区危险化学品生产安全事故应急救援工作。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市应急指挥部成员单位,""危化品应急预案"":危化品应急预案}",部门负责,[部门职责],"{""name"":与市应急指挥部办公室建立应急联动工作机制，明确联系人及联系方式，保证联络通畅，并加强与其他应急机构的衔接配合。,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":综合协调组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":抢险救援组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":警戒疏散组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":交通管制组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":综合保障组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":医疗救护组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":环境保护组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":通信保障组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":信息发布组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":事故调查组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":善后处置组,""危化品应急预案"":危化品应急预案}"
[现场指挥部名称],"{""name"":现场指挥部,""危化品应急预案"":危化品应急预案}",下设,[应急工作小组],"{""name"":应急专家组,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":交通管制组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":有关部门,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":警戒疏散组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":有关部门,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":综合协调组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":有关部门,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":综合协调组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":事发单位,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":抢险救援组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":专业应急救援队伍,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":抢险救援组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":事发单位救援人员,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":交通管制组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":事发单位安全保卫人员,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":警戒疏散组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":事发单位安全保卫人员,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":交通管制组,""危化品应急预案"":危化品应急预案}",牵头,[具体政府部门],"{""name"":市公安,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":交通管制组,""危化品应急预案"":危化品应急预案}",非牵头,[具体政府部门],"{""name"":事发地区人民政府,""危化品应急预案"":危化品应急预案}"
[事故状态类型],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":运输事故处置程序}",运输事故措施,[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":侦察检测}"
[事故类型],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":泄漏事故}",事故措施,[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":侦察检测}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":侦察检测}",泄漏事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":d.查明泄漏区域内管线、沟渠、下水道走向布局。}"
[小组职责],"{""name"":根据实际情况实行交通管制和疏导工作。,""危化品应急预案"":危化品应急预案}",小组细则名称,[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":疏散警戒}"
[小组职责],"{""name"":负责组织事故可能危及区域有关人员的紧急疏散、撤离工作；对事故现场进行保护、警戒，维持现场抢险救灾秩序，维护社会治安。,""危化品应急预案"":危化品应急预案}",小组细则名称,[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":疏散警戒}"
[事故状态类型],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":运输事故处置程序}",运输事故措施,[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":疏散警戒}"
[事故类型],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":泄漏事故}",事故措施,[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":疏散警戒}"
[事故类型],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":泄漏事故}",事故措施,[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":禁绝火源}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":安全防护}",泄漏事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":进入重危区的救援人员必须实施二级及以上防护，并采取雾状水掩护。}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":应急处置}",泄漏事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":a.少量泄漏。用沙土、蛭石、吸油毡或其他惰性材料吸收。}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":应急处置}",泄漏事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":e.关阀堵漏。}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":洗消处理}",着火事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":b.用水冲洗救援中使用的装备及被污染的衣物，消除其危害。}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":洗消处理}",泄漏事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":b.用水冲洗救援中使用的装备及被污染的衣物，消除其危害。}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":清理移交}",着火事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":c.做好移交，安全归建。}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":清理移交}",泄漏事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":c.做好移交，安全归建。}"
[小组职责],"{""name"":负责事故和救援信息的发布，组织起草新闻发布稿和事故情况通稿，制定新闻发布方案，组织接待记者，适时组织新闻发布会。,""危化品应急预案"":危化品应急预案}",小组细则名称,[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":第一时间了解灾情信息}"
[事故类型],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":着火事故}",事故措施,[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":第一时间了解灾情信息}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":安全防护}",着火事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":人员进入现场或警戒区，必须佩戴呼吸器及各种防护器具。进入重危区的救援人员必须实施三级以上防护，并采取 雾状水掩护。}"
[措施名称],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":现场侦检}",着火事故细则,[措施细则],"{""汽油危化品指导手册"":汽油危化品指导手册,""name"":c.人员伤亡信息：事故区域遇险人数、位置、先期疏散抢救人员等情况。}"
[具体政府部门],"{""name"":市公安局,""危化品应急预案"":危化品应急预案}",牵头负责,[小组职责],"{""name"":负责组织事故可能危及区域有关人员的紧急疏散、撤离工作；对事故现场进行保护、警戒，维持现场抢险救灾秩序，维护社会治安。,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":警戒疏散组,""危化品应急预案"":危化品应急预案}",小组负责,[小组职责],"{""name"":负责组织事故可能危及区域有关人员的紧急疏散、撤离工作；对事故现场进行保护、警戒，维持现场抢险救灾秩序，维护社会治安。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市公安,""危化品应急预案"":危化品应急预案}",牵头负责,[小组职责],"{""name"":根据实际情况实行交通管制和疏导工作。,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":交通管制组,""危化品应急预案"":危化品应急预案}",小组负责,[小组职责],"{""name"":根据实际情况实行交通管制和疏导工作。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市应急管理局,""危化品应急预案"":危化品应急预案}",牵头负责,[小组职责],"{""name"":协调组织设立现场指挥部办公场所，为现场抢险救援工作人员提供生活后勤保障，安置事故伤亡人员家属；调配车辆运输应急物资到现场。,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":综合保障组,""危化品应急预案"":危化品应急预案}",小组负责,[小组职责],"{""name"":协调组织设立现场指挥部办公场所，为现场抢险救援工作人员提供生活后勤保障，安置事故伤亡人员家属；调配车辆运输应急物资到现场。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市卫生健康委员会,""危化品应急预案"":危化品应急预案}",牵头负责,[小组职责],"{""name"":组织医疗救护队伍进入事故现场，开展医疗救治工作。,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":医疗救护组,""危化品应急预案"":危化品应急预案}",小组负责,[小组职责],"{""name"":组织医疗救护队伍进入事故现场，开展医疗救治工作。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市生态环境局,""危化品应急预案"":危化品应急预案}",牵头负责,[小组职责],"{""name"":负责对事故现场周边环境的实时监测，分析并提供监测数据；对由危险化学品造成的突发环境事件及其处理过程中产生的污染物，指导协助有关部门做好处理处置工作。,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":环境保护组,""危化品应急预案"":危化品应急预案}",小组负责,[小组职责],"{""name"":负责对事故现场周边环境的实时监测，分析并提供监测数据；对由危险化学品造成的突发环境事件及其处理过程中产生的污染物，指导协助有关部门做好处理处置工作。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":南京通信行业管理办公室,""危化品应急预案"":危化品应急预案}",牵头负责,[小组职责],"{""name"":保障事故救援现场通信畅通。,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":通信保障组,""危化品应急预案"":危化品应急预案}",小组负责,[小组职责],"{""name"":保障事故救援现场通信畅通。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市委宣传部,""危化品应急预案"":危化品应急预案}",牵头负责,[小组职责],"{""name"":负责事故和救援信息的发布，组织起草新闻发布稿和事故情况通稿，制定新闻发布方案，组织接待记者，适时组织新闻发布会。,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":信息发布组,""危化品应急预案"":危化品应急预案}",小组负责,[小组职责],"{""name"":负责事故和救援信息的发布，组织起草新闻发布稿和事故情况通稿，制定新闻发布方案，组织接待记者，适时组织新闻发布会。,""危化品应急预案"":危化品应急预案}"
[具体政府部门],"{""name"":市应急管理局,""危化品应急预案"":危化品应急预案}",牵头负责,[小组职责],"{""name"":组织事故调查，开展应急处置评估，形成事故调查报告，提出事故处理及防范措施意见。,""危化品应急预案"":危化品应急预案}"
[应急工作小组],"{""name"":事故调查组,""危化品应急预案"":危化品应急预案}",小组负责,[小组职责],"{""name"":组织事故调查，开展应急处置评估，形成事故调查报告，提出事故处理及防范措施意见。,""危化品应急预案"":危化品应急预案}"
